epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
95,26767.5,0.97489,1.02142,0.0065,0.73729,0.75881,0.83763,0.6593,0.8242,0.70849,0.00478,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,27047.9,0.97324,1.01992,0.00649,0.73844,0.75926,0.83812,0.65951,0.82414,0.70653,0.00478,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,27323.7,0.97464,1.01936,0.00647,0.73764,0.75889,0.83814,0.65978,0.82377,0.70564,0.00478,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,27605.7,0.96748,1.01487,0.00642,0.73762,0.75847,0.83838,0.66002,0.82369,0.70416,0.00478,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,27889.3,0.9656,1.01367,0.0064,0.73814,0.75843,0.8384,0.66009,0.82319,0.70308,0.00478,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,28170,0.96418,1.00411,0.00639,0.73735,0.75796,0.83826,0.65989,0.82275,0.70307,0.00478,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,28448.9,0.9618,1.00909,0.00639,0.73433,0.75997,0.83762,0.65954,0.82215,0.70426,0.00477,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,28733.8,0.96095,1.0073,0.00638,0.73597,0.75796,0.83757,0.65959,0.82149,0.70364,0.00477,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,29019.6,0.95683,1.00475,0.00631,0.73791,0.75788,0.83749,0.65981,0.82116,0.70318,0.00476,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,29304.2,0.95633,1.00292,0.00636,0.73556,0.75966,0.83813,0.66015,0.82126,0.70142,0.00476,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
